Codigo;Nombre estacion;Inicio;Fin;Latitud;Longitud;X;Y;Elevacion;Departamento;% de faltantes;Tendencia;Beta;M24;PP media
23105030;Vegachi;17/06/1975;31/07/2024;6.774111111;-74.79652778;4801525.381;2306894.774;990;Antioquia;12.57;Sí;-0.617;82.17;2132.131931
26180180;Sonson;1/07/1931;24/03/2025;5.71525;-75.2945;4745974.992;2190031.317;2383;Antioquia;23.46;No;-0.526;59.98;2304.469353
27015090;Tulio Ospina;1/09/1950;24/03/2025;6.319694444;-75.55325;4717623.432;2257007.411;1453;Antioquia;12.83;Sí;-0.633;62.38;1504.616747
23090020;Virginias;17/07/1976;28/02/2025;6.393555556;-74.68180556;4814061.581;2264780.059;626;Antioquia;2.93;Sí;-0.555;102.06;2938.992963
23100040;Yolombo;1/05/1975;1/03/2025;6.594277778;-75.01091667;4777750.108;2287103.941;1442;Antioquia;2.88;Sí;-0.555;95.04;2846.411746
23160010;Yondo;20/08/1974;25/03/2025;7.089444444;-73.94416667;4895772.923;2341478.605;85;Antioquia;2.86;Sí;-0.629;132.2;2947.884763
27020190;Yarumal;27/10/1970;25/03/2025;6.955972222;-75.41555556;4733204.007;2327305.013;2181;Antioquia;5.09;No;-0.528;78.37;2857.043761
27030210;Zaragoza;1/07/1970;3/05/2024;7.486222222;-74.87238889;4793461.098;2385657.823;50;Antioquia;1.9;No;-0.61;146.75;4207.60054
23040070;Cañaveral;11/08/1974;31/05/2025;5.323286111;-74.93885833;4785223.323;2146551.348;1060;Caldas;3.28;No;-0.527;142.72;4694.56
26145020;Bellavista;21/09/1963;5/08/2025;5.275944444;-75.80013889;4689727.827;2141680.66;1984;Caldas;22.48;Sí;-0.589;61.72;1906.53
26150060;Arauca;12/02/1962;5/08/2025;5.108527778;-75.70166667;4700568.21;2123113.343;917;Caldas;4.86;No;-0.623;79.34;2149.13
26155110;Aeropuerto La Nubia Aut;1/01/1968;5/08/2025;5.029777778;-75.46991667;4726236.902;2114300.528;2104;Caldas;5.2;No;-0.619;58.5;1571.66
26180190;Aguadas;1/04/1954;31/05/2025;5.600027778;-75.45119444;4728563.395;2177359.772;2180;Caldas;21.43;Sí;-0.573;82.16;2745.22
23050270;Belen;24/11/1964;31/07/1995;5.516666667;-75.03333333;4774825.326;2167966.066;1400;Caldas;26.9;No;-0.498;138.91;6661.62
23050280;Bolivia;19/11/1964;31/07/1995;5.333333333;-75.03333333;4774757.287;2147695.895;1840;Caldas;23.37;No;-0.511;97.23;3551.77
26155020;Cenicafe;1/01/1954;31/12/1998;4.983333333;-75.58333333;4713637.422;2109212.174;1310;Caldas;28.89;No;-0.635;84.28;2501.22
26155050;Agronomia;1/01/1957;31/12/1998;5.05;-75.48333333;4724757.413;2116542.694;2150;Caldas;23.41;Sí;-0.601;72.26;1864.47
23040030;Idema-Dorada;1/07/1964;31/05/2025;5.479194444;-74.67616667;4814379.277;2163700.609;176;Caldas;11.08;No;-0.658;112.97;2018.74
26150160;La Esperanza;4/10/1970;5/08/2025;5.017833333;-75.35655556;4738804.171;2112933.174;3341;Caldas;3.19;No;-0.504;43.45;1598.76
26155150;Las Brisas - Aut;12/10/1981;29/04/2024;4.934527778;-75.35038889;4739455.253;2103718.253;4133;Caldas;17.65;No;-0.541;42.28;1458.04
26160120;Cristalina La;22/09/1970;30/05/2025;5.192194444;-75.43577778;4730091.169;2132248.555;2411;Caldas;11.13;No;-0.555;72.45;2006.96
26160160;La Maria;1/01/1962;30/06/2025;5.5875;-75.5775;4714561.588;2176034.087;645;Caldas;0.66;No;-0.515;85.67;2493.26
26180260;La Miranda;1/01/2004;30/06/2025;5.427166667;-75.33358333;4741519.679;2158190.507;2915;Caldas;4.26;No;-0.599;61.55;1702.06
26185010;La Pelada;24/04/1994;30/04/2025;5.57875;-75.34477778;4740344.863;2174958.525;2180;Caldas;2.96;No;-0.562;58.87;2050.87
26130300;Esmeralda La;10/02/1963;31/12/1989;5.066666667;-75.71666667;4698885.01;2118489.771;1040;Caldas;22.98;No;-0.668;91.19;2389.27
26180240;Las Pavas;1/06/1994;30/06/2025;5.522194444;-75.39288889;4734988.842;2168725.401;2770;Caldas;5.09;No;-0.564;69.71;2333.97
23020080;Manzanares;1/01/1972;27/08/2024;5.265611111;-75.14408333;4762457.529;2140249.33;1974;Caldas;8.7;No;-0.547;91.48;3187.19
23050080;Marquetalia;18/02/1963;4/08/2025;5.298916667;-75.05747222;4772069.502;2143899.467;1550;Caldas;5.73;No;-0.562;101.88;3244.25
23020090;Marulanda;5/08/1974;31/05/2025;5.2781;-75.2672;4748815.628;2141678.599;2813;Caldas;2.63;No;-0.539;55.86;1940.61
23050310;Libano;1/01/1973;31/07/1995;5.433333333;-75.16666667;4760019.767;2158803.636;2270;Caldas;16.61;No;-0.488;100.48;4005.14
26155140;Luker Gja;1/01/1965;31/12/1998;5.083333333;-75.68333333;4702590.012;2120317.951;1020;Caldas;18.63;No;-0.644;73.85;2177
26170270;Margarita La;1/01/1964;23/11/1983;5.133333056;-75.71666667;4698916.116;2125864.258;980;Caldas;23.85;Sí;-0.613;81.53;2247.53
23050250;Norcasia Radio;7/03/1979;30/06/2025;5.574472222;-74.89169444;4790536.892;2174305.11;737;Caldas;7.93;Sí;-0.558;130.45;4179.18
23055040;Samana;1/09/1974;7/08/2025;5.418288056;-74.99292778;4779265.642;2157074.004;1532;Caldas;6.54;Sí;-0.501;182.19;7012
26150150;Papayal;1/10/1970;31/01/2025;4.951666667;-75.48972222;4724007.632;2105669.957;2304;Caldas;2.45;No;-0.578;66.48;1947.95
26160080;Salamina Conc Barc;2/08/1970;7/08/2025;5.395444444;-75.48930556;4724246.257;2154750.808;1890;Caldas;2.12;No;-0.589;63.04;1819.14
26160090;Pacora Plaza Feria;2/08/1970;7/08/2025;5.522444444;-75.45508333;4728096.84;2168781.127;1821;Caldas;3.18;No;-0.603;88.01;2890.24
26160100;Neira;19/09/1970;7/08/2025;5.163166667;-75.51844444;4720912.373;2129073.95;1980;Caldas;6.98;No;-0.578;89.6;2322.24
26170290;Riosucio;1/04/1970;7/08/2025;5.424777778;-75.73025;4697551.026;2158110.135;1946;Caldas;28.87;Sí;-0.529;68.44;2501.43
23050170;Palma La;25/11/1964;31/07/1995;5.433333333;-74.96666667;4782180.831;2158727.914;1300;Caldas;22.01;No;-0.443;122.33;6130.82
26135050;Naranjal;1/01/1954;31/12/1998;4.966666667;-75.7;4700688.085;2107420.445;1400;Caldas;22.59;No;-0.593;81.39;2674.76
23020100;Victoria La;12/08/1974;7/08/2025;5.323888889;-74.9244444;4786820.828;2146612.991;905;Caldas;1.8;No;-0.542;140.76;3736.79
23050230;San Jose Pensilvan;15/08/1974;7/08/2025;5.37339;-75.149675;4761879.214;2152168.827;2020;Caldas;7.19;No;-0.548;90.38;3143.41
26155170;Tesorito Finca  - Aut;1/09/1993;7/08/2025;5.032222222;-75.43833333;4729740.688;2114557.706;2325;Caldas;17.71;No;-0.579;59.36;1769.34
26180250;Valle Alto;21/04/1994;28/02/2025;5.35;-75.31777778;4743238.899;2149650.297;3311;Caldas;26.49;Sí;-0.523;53.02;1393.75
26185040;San Felix;1/08/1970;1/03/2025;5.372944444;-75.37533333;4736869.216;2152212.086;2855;Caldas;5.34;No;-0.56;52.03;1593
23040080;Sub Cañaveral;1/01/1964;31/07/1995;5.35;-74.91666667;4787691.705;2149497.065;970;Caldas;9.5;Sí;-0.537;139.6;4194.79
26145050;Samaria La;1/09/1973;30/04/1996;5.05;-75.88333333;4680388.49;2116725.742;120;Caldas;22.79;No;-0.687;70.82;1783.6
26150250;San Cancio Planta;1/01/1974;31/12/1995;5.05;-75.5;4722908.989;2116549.775;1850;Caldas;15.15;No;-0.594;72.67;1927.38
26155090;Santagueda;1/01/1966;31/12/1998;5.083333333;-75.66666667;4704438.605;2120310.298;1010;Caldas;14.14;Sí;-0.62;78.04;2202.07
23205050;Canelos  - Aut;1/10/1983;31/08/2024;7.885416667;-74.24097222;4863252.337;2429534.455;750;Bolivar;3.67;Sí;-0.606;84.5;2180.5
25020410;La Candelaria;1/08/1966;31/05/2025;8.219444444;-74.72875;4809644.717;2466654.517;28;Bolivar;4.67;Sí;-0.469;145.87;4714.07
23200060;Santo Domingo;1/01/1978;30/04/2025;7.670555556;-73.94194444;4896153.891;2405701.735;80;Bolivar;8.27;No;-0.623;103.08;2299.38
